LLT	PT
11-beta-hydroxylase deficiency	11-beta-hydroxylase deficiency
11-deoxycorticosterone increased	11-deoxycorticosterone increased
11-deoxycortisol increased	11-deoxycortisol increased
11-oxysteroid activity increased	Oxycorticosteroids increased
17 ketosteroids urine	17 ketosteroids urine
17 ketosteroids urine abnormal	17 ketosteroids urine abnormal
17 ketosteroids urine abnormal NOS	17 ketosteroids urine abnormal
17 ketosteroids urine decreased	17 ketosteroids urine decreased
17 ketosteroids urine high	17 ketosteroids urine increased
17 ketosteroids urine increased	17 ketosteroids urine increased
17 ketosteroids urine low	17 ketosteroids urine decreased
17 ketosteroids urine normal	17 ketosteroids urine normal
17,20-desmolase deficiency	17,20-desmolase deficiency
17-alpha-hydroxylase deficiency	17-alpha-hydroxylase deficiency
17-hydroxycorticosteroid activity	Steroid activity
17-hydroxycorticosteroid activity increased	Increased steroid activity
17-hydroxyprogesterone decreased	17-hydroxyprogesterone decreased
17-hydroxyprogesterone increased	17-hydroxyprogesterone increased
17-hydroxysteroid activity increased	Increased steroid activity
18q minus syndrome	18q minus syndrome
18q syndrome	18q minus syndrome
1p36 deletion syndrome	1p36 deletion syndrome
1st degree heart block	Atrioventricular block first degree
1st degree vaginal prolapse	Vaginal prolapse
2',5'-oligoadenylate synthetase test	2',5'-oligoadenylate synthetase test
2',5'-oligoadenylate synthetase test decreased	2',5'-oligoadenylate synthetase test decreased
2',5'-oligoadenylate synthetase test increased	2',5'-oligoadenylate synthetase test increased
2-5AS activity increased	2',5'-oligoadenylate synthetase test increased
2-Hydroxyglutaric aciduria	2-Hydroxyglutaric aciduria
20,22-desmolase deficiency	20,22-desmolase deficiency
2019 novel coronavirus infection	COVID-19
2019-nCoV infection	COVID-19
21-hydroxylase deficiency	21-hydroxylase deficiency
22q11.2 deletion syndrome	22q11.2 deletion syndrome
24 hour electrocardiogram	Electrocardiogram ambulatory
2nd degree heart block	Atrioventricular block second degree
2nd degree vaginal prolapse	Vaginal prolapse
